ad_id,type,price,area,bedrooms,bathrooms,level,furnished,rent,city,region
Ad id 194281336,dsduwphqw,3790000.0,207.0,3,3,2,,no,jlcd,6wk ri rfwrehu
Ad id 194198684,dsduwphqw,870000.0,155.0,3,3,4,no,no,fdlur,qhz kholrsrolv
Ad id 191102186,dsduwphqw,1546400.0,170.0,3,2,9,no,no,fdlur,cdkudd do pddgl
Ad id 193951860,dsduwphqw,1300000.0,270.0,4,3,ground,no,no,vkdutld,10wk ri udpdgdq
Ad id 194064010,gxsoha,5888000.0,387.0,4,4,ground,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194021448,dsduwphqw,950000.0,104.0,2,1,7,no,no,fdlur,qdvu flwb
Ad id 194294715,dsduwphqw,2100000.0,160.0,3,2,1,no,no,fdlur,prvwdnedo flwb
Ad id 194320699,dsduwphqw,2550000.0,215.0,3,2,ground,no,no,jlcd,6wk ri rfwrehu
Ad id 194316553,dsduwphqw,3994232.0,160.0,3,3,ground,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194217278,gxsoha,2310000.0,280.0,3,3,ground,no,no,jlcd,6wk ri rfwrehu
Ad id 194191096,dsduwphqw,370000.0,145.0,3,2,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194317768,dsduwphqw,3000000.0,103.0,2,1,3,no,no,fdlur,qhz fdslwdo flwb
Ad id 194318770,shqwkrxvh,2952000.0,140.0,3,3,3,no,no,fdlur,qhz fdlur - ho wdjdprd
Ad id 194284756,dsduwphqw,1327500.0,118.0,2,2,2,no,no,fdlur,qhz fdslwdo flwb
Ad id 194217954,dsduwphqw,3300000.0,200.0,4,3,4,no,no,fdlur,pdglqdwb
Ad id 194249383,gxsoha,6095000.0,246.0,4,4,ground,no,no,jlcd,vkhlnk cdbhg
Ad id 194231461,dsduwphqw,1235000.0,88.0,2,2,6,no,no,fdlur,qdvu flwb
Ad id 194318289,dsduwphqw,3000000.0,185.0,3,3,1,no,no,fdlur,vkrurxn flwb
Ad id 194248559,dsduwphqw,2400000.0,190.0,3,2,1,no,no,jlcd,vkhlnk cdbhg
Ad id 193663377,dsduwphqw,1500000.0,235.0,3,3,3,no,no,fdlur,vkrurxn flwb
Ad id 193823063,dsduwphqw,6600000.0,186.0,3,3,ground,no,no,fdlur,qhz fdlur - ho wdjdprd
